# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	25487
#@/user_id	08739937-06a1-48ea-b483-a1d82a4c18b3
Epsilon 	Ε	c=1 d=1.21929e-09 t=25487
fan dui 	反对	c=1 d=1.67968e-13 t=25487
fan fu 	反复	c=1 d=3.69146e-12 t=25487
fan hui 	返回	c=3 d=2.17728e-28 t=25487
fan ji yin zu 	泛基因组	c=3 d=0.00694315 t=25487
fan ji yin zu 	范基因组	c=2 d=1.55102e-38 t=25487
fan kui 	反馈	c=7 d=7.69893e-18 t=25487
fan le 	反了	c=3 d=1.47318e-39 t=25487
fan le 	犯了	c=1 d=1.06126e-23 t=25487
fan ni 	烦你	c=1 d=7.9095e-36 t=25487
fan nin 	烦您	c=1 d=2.60036e-37 t=25487
fan qiang 	翻墙	c=1 d=5.93371e-37 t=25487
fan wei 	范围	c=5 d=3.56708e-22 t=25487
fan xiang 	反向	c=1 d=1.94237e-46 t=25487
fan xiang yi chuan xue 	反向遗传学	c=2 d=1.33017e-45 t=25487
fan yi 	翻译	c=3 d=1.08965e-10 t=25487
fan yi xia 	翻一下	c=1 d=2.77452e-35 t=25487
fan ying 	反应	c=9 d=3.3989e-10 t=25487
fan za 	繁杂	c=2 d=9.93042e-27 t=25487
fan zheng 	反正	c=11 d=2.0504e-06 t=25487
fan zhuo 	饭桌	c=1 d=1.80927e-05 t=25487
fang 	放	c=10 d=0.521541 t=25487
fang 	方	c=1 d=5.02773e-29 t=25487
fang 	芳	c=0 d=6.91065e-37 t=25487
fang ai 	妨碍	c=1 d=1.62915e-36 t=25487
fang an 	方案	c=4 d=1.0417e-21 t=25487
fang bian 	方便	c=5 d=4.67174e-18 t=25487
fang bu liao 	放不了	c=1 d=1.26879e-36 t=25487
fang dao 	放到	c=2 d=4.44411e-18 t=25487
fang fa 	方法	c=14 d=1.25137e-20 t=25487
fang fang 	放放	c=1 d=3.42286e-35 t=25487
fang ge 	放个	c=1 d=3.41414e-05 t=25487
fang jia 	放假	c=2 d=1.91779e-41 t=25487
fang jian 	房间	c=1 d=5.11083e-16 t=25487
fang jin 	放进	c=2 d=3.13209e-20 t=25487
fang jin qu 	放进去	c=1 d=7.44253e-26 t=25487
fang kong 	防控	c=2 d=2.17614e-30 t=25487
fang le 	放了	c=2 d=3.72406e-09 t=25487
fang mian 	方面	c=6 d=6.52415e-06 t=25487
fang shi 	方式	c=6 d=0.00539239 t=25487
fang shu 	防暑	c=1 d=2.75411e-07 t=25487
fang wen 	访问	c=8 d=2.43255e-09 t=25487
fang xia 	放下	c=2 d=1.44997e-25 t=25487
fang xia lai 	放下来	c=2 d=7.53633e-36 t=25487
fang xiang 	方向	c=1 d=1.35355e-32 t=25487
fang xin 	放心	c=2 d=3.15325e-11 t=25487
fang yan 	方言	c=2 d=0.00951391 t=25487
fang yi xia 	放一下	c=1 d=2.6392e-35 t=25487
fang you 	放有	c=1 d=5.82828e-32 t=25487
fang zai 	放在	c=7 d=5.89401e-09 t=25487
fang zhao 	仿照	c=1 d=1.13173e-44 t=25487
fang zhi 	防止	c=1 d=3.97139e-19 t=25487
fang zi 	房子	c=2 d=2.32177e-07 t=25487
fei 	肥	c=1 d=6.61107e-44 t=25487
fei 	肺	c=1 d=0.463013 t=25487
fei 	费	c=3 d=3.99112e-35 t=25487
fei 	非	c=3 d=1.71922e-22 t=25487
fei chang 	非常	c=4 d=0.00814786 t=25487
fei chang hao 	非常好	c=1 d=0.00152616 t=25487
fei dian xing 	非典型	c=1 d=5.87569e-39 t=25487
fei pao 	肺泡	c=3 d=2.22706e-08 t=25487
fei pao guan xi ye 	肺泡灌洗液	c=1 d=2.04447e-31 t=25487
fei tian 	飞天	c=1 d=5.4667e-41 t=25487
fei tian mian tiao 	飞天面条	c=1 d=8.94401e-41 t=25487
fei yan 	肺炎	c=59 d=0.019738 t=25487
fei yan lian qiu jun 	肺炎链球菌	c=3 d=6.8249e-36 t=25487
fei yan zhi yuan ti 	肺炎支原体	c=39 d=0.00876508 t=25487
fen 	份	c=8 d=0.000253537 t=25487
fen 	分	c=10 d=1.96512e-05 t=25487
fen 	粉	c=1 d=8.00421e-29 t=25487
fen 	粪	c=0 d=1.81544e-46 t=25487
fen bian 	分辨	c=2 d=4.33035e-37 t=25487
fen bie 	分别	c=7 d=9.7895e-15 t=25487
fen bu 	分布	c=8 d=3.00284e-16 t=25487
fen cheng 	分成	c=1 d=2.03849e-26 t=25487
fen de 	分的	c=1 d=3.58968e-36 t=25487
fen ge 	分割	c=1 d=8.48304e-36 t=25487
fen ge fu 	分隔符	c=2 d=9.86624e-19 t=25487
fen kai 	分开	c=9 d=0.000241172 t=25487
fen kai guo 	分开过	c=1 d=3.27459e-14 t=25487
fen kou tu jing 	粪口途径	c=1 d=1.82454e-45 t=25487
fen lan 	分栏	c=2 d=2.57947e-26 t=25487
fen lan 	芬兰	c=1 d=9.55964e-30 t=25487
fen lei 	分类	c=11 d=7.49919e-27 t=25487
fen li 	分离	c=2 d=5.27559e-46 t=25487
fen mian 	分面	c=3 d=1.46452e-18 t=25487
fen mu 	分母	c=1 d=4.18653e-22 t=25487
fen sui 	粉碎	c=1 d=2.4329e-48 t=25487
fen sui le 	粉碎了	c=1 d=4.43304e-48 t=25487
fen wei 	分为	c=9 d=4.35301e-16 t=25487
fen xi 	分析	c=45 d=2.62423e-12 t=25487
fen xi yi 	分析仪	c=1 d=3.19699e-26 t=25487
fen xiang 	分享	c=3 d=1.83121e-29 t=25487
fen xing 	分型	c=29 d=0.0119145 t=25487
fen ye 	分页	c=1 d=4.32666e-27 t=25487
fen yuan 	分院	c=1 d=4.89525e-09 t=25487
fen zhong 	分钟	c=2 d=1.32196e-19 t=25487
fen zi 	分子	c=2 d=8.08602e-22 t=25487
fen zi liang 	分子量	c=1 d=4.90443e-31 t=25487
feng 	疯	c=2 d=0.00143011 t=25487
feng bi 	封闭	c=0 d=1.30587e-23 t=25487
feng bi qun 	封闭群	c=1 d=1.31242e-22 t=25487
feng cheng 	封城	c=3 d=0.00159702 t=25487
feng du 	丰度	c=4 d=2.16352e-31 t=25487
feng kou 	封口	c=2 d=0.00125015 t=25487
feng liu 	风流	c=2 d=8.20685e-29 t=25487
feng xian 	风险	c=3 d=1.67055e-45 t=25487
feng zi 	疯子	c=1 d=7.6559e-35 t=25487
flu 	flu	c=2 d=1.38476e-35 t=25487
fork 	fork	c=3 d=1.05746e-10 t=25487
fou 	否	c=2 d=0.0263839 t=25487
fou le 	否了	c=1 d=0.0365162 t=25487
free 	free	c=1 d=1.04134e-06 t=25487
fu 	付	c=1 d=4.35664e-20 t=25487
fu 	扶	c=1 d=1.22494e-34 t=25487
fu gai 	覆盖	c=2 d=3.57129e-05 t=25487
fu gai du 	覆盖度	c=3 d=6.18994e-05 t=25487
fu gai lv 	覆盖率	c=1 d=2.63607e-21 t=25487
fu he 	符合	c=1 d=7.18045e-16 t=25487
fu huo 	复活	c=1 d=2.2525e-24 t=25487
fu ji 	腹肌	c=2 d=7.78661e-17 t=25487
fu jian 	附件	c=3 d=2.30278e-19 t=25487
fu kuan 	付款	c=2 d=2.15529e-05 t=25487
fu lu 	附录	c=3 d=9.54099e-21 t=25487
fu mu 	父母	c=5 d=4.67141e-07 t=25487
fu tu 	附图	c=2 d=3.43125e-05 t=25487
fu wu qi 	服务器	c=21 d=0.00175122 t=25487
fu yan 	敷衍	c=1 d=2.47311e-35 t=25487
fu yin jian 	复印件	c=1 d=3.23353e-42 t=25487
fu yu 	孵育	c=1 d=1.09321e-19 t=25487
fu za 	复杂	c=3 d=2.59144e-26 t=25487
fu zhi 	复制	c=3 d=2.3016e-13 t=25487
ga chang 	尬唱	c=1 d=5.5316e-35 t=25487
ga diao 	嘎调	c=2 d=7.87607e-35 t=25487
gai 	改	c=13 d=0.0368831 t=25487
gai 	盖	c=1 d=1.39092e-29 t=25487
gai 	该	c=7 d=1.22202e-06 t=25487
gai cheng 	改成	c=3 d=4.11858e-35 t=25487
gai da 	该打	c=1 d=8.44961e-19 t=25487
gai de 	改的	c=2 d=6.29164e-43 t=25487
gai gai 	改改	c=3 d=8.84901e-33 t=25487
gai ge 	改个	c=1 d=5.37178e-43 t=25487
gai guo 	改过	c=1 d=1.08251e-21 t=25487
gai hao 	改好	c=1 d=3.07426e-36 t=25487
gai hui lai 	改回来	c=1 d=1.23171e-40 t=25487
gai jin 	改进	c=3 d=9.14375e-21 t=25487
gai kuang 	概况	c=1 d=7.88371e-27 t=25487
gai le 	改了	c=5 d=2.90924e-34 t=25487
gai ming 	改名	c=1 d=6.49583e-43 t=25487
gai wan 	改完	c=3 d=1.28289e-19 t=25487
gai wei 	改为	c=3 d=8.45103e-21 t=25487
gai xi 	改戏	c=2 d=5.9312e-35 t=25487
gai yi xia 	改一下	c=2 d=1.15223e-20 t=25487
gai zhang 	盖章	c=3 d=3.61455e-29 t=25487
gai zi 	盖子	c=2 d=1.80127e-11 t=25487
gan 	干	c=5 d=1.74734e-07 t=25487
gan 	感	c=1 d=2.20407e-33 t=25487
gan 	敢	c=2 d=1.33044e-06 t=25487
gan bei 	干杯	c=1 d=1.75425e-24 t=25487
gan bing 	干冰	c=1 d=2.19495e-43 t=25487
gan bu liao 	干不了	c=1 d=1.94377e-25 t=25487
gan chang 	干唱	c=1 d=6.89279e-35 t=25487
gan cui 	干脆	c=1 d=6.34967e-40 t=25487
gan dao 	感到	c=1 d=9.02936e-35 t=25487
gan en 	感恩	c=1 d=1.82207e-29 t=25487
gan ga 	尴尬	c=3 d=3.69756e-32 t=25487
gan huo 	干活	c=1 d=1.43056e-36 t=25487
gan jin 	赶紧	c=6 d=0.0858632 t=25487
gan ju 	赣剧	c=7 d=5.07442e-36 t=25487
gan jue 	感觉	c=28 d=0.824904 t=25487
gan kuai 	赶快	c=1 d=5.0985e-17 t=25487
gan liang 	干粮	c=2 d=5.35442e-34 t=25487
gan ma 	干嘛	c=0 d=2.55685e-16 t=25487
gan piao 	干票	c=1 d=7.98788e-05 t=25487
gan qing 	感情	c=1 d=6.28456e-07 t=25487
gan ran 	感染	c=30 d=4.80312e-05 t=25487
gan sha 	干啥	c=1 d=0.00010308 t=25487
gan she 	干涉	c=1 d=1.33112e-12 t=25487
gan shen me 	干什么	c=2 d=2.08697e-30 t=25487
gan shi 	干式	c=2 d=3.18711e-19 t=25487
gan xie 	感谢	c=2 d=0.0139818 t=25487
gan zhao ji 	干着急	c=1 d=1.24434e-13 t=25487
gang 	刚	c=6 d=0.00260587 t=25487
gang 	纲	c=1 d=4.54216e-40 t=25487
gang gang 	刚刚	c=20 d=3.84602e-10 t=25487
gang kai shi 	刚开始	c=2 d=0.0042691 t=25487
gang zou 	刚走	c=1 d=2.99784e-34 t=25487
gao 	搞	c=6 d=0.0413783 t=25487
gao 	稿	c=1 d=7.06007e-23 t=25487
gao 	高	c=9 d=0.00476928 t=25487
gao bian qu 	高变区	c=2 d=2.1442e-43 t=25487
gao bu hao 	搞不好	c=1 d=6.88109e-15 t=25487
gao chu 	高出	c=3 d=2.66927e-21 t=25487
gao cuo le 	搞错了	c=1 d=2.0811e-34 t=25487
gao dao 	搞到	c=1 d=1.92475e-27 t=25487
gao de 	搞得	c=1 d=1.13196e-17 t=25487
gao di 	高低	c=2 d=1.52088e-21 t=25487
gao fen 	高分	c=1 d=3.76719e-45 t=25487
gao gao 	搞搞	c=1 d=1.94747e-18 t=25487
gao ge 	搞个	c=1 d=7.89201e-10 t=25487
gao jian 	稿件	c=18 d=1.65821e-34 t=25487
gao jie 	高婕	c=10 d=0.0141223 t=25487
gao kao 	高考	c=1 d=7.21398e-12 t=25487
gao nian ji 	高年级	c=1 d=1.89217e-32 t=25487
gao shen me 	搞什么	c=1 d=2.26187e-14 t=25487
gao su 	告诉	c=2 d=3.56316e-37 t=25487
gao su ni 	告诉你	c=2 d=0.000614689 t=25487
gao su wo 	告诉我	c=1 d=2.61339e-37 t=25487
gao tie 	高铁	c=3 d=3.0524e-15 t=25487
gao tong liang 	高通量	c=1 d=8.96749e-13 t=25487
gao wan 	搞完	c=5 d=1.16177e-26 t=25487
gao xiao 	高校	c=1 d=7.37374e-05 t=25487
gao yan zhi 	高顏值	c=1 d=7.34447e-17 t=25487
gao yu 	高于	c=1 d=4.94614e-13 t=25487
gao zhi 	告知	c=2 d=1.61685e-35 t=25487
gao zhi liang 	高质量	c=1 d=5.36995e-39 t=25487
gao zi 	稿子	c=8 d=1.38903e-34 t=25487
gap 	gap	c=1 d=2.5327e-21 t=25487
ge 	个	c=83 d=0.163741 t=25487
ge 	各	c=3 d=1.45697e-38 t=25487
ge 	哥	c=1 d=7.87002e-36 t=25487
ge duo 	个多	c=0 d=6.92993e-11 t=25487
ge fang mian 	各方面	c=2 d=3.20219e-34 t=25487
ge ge 	各个	c=4 d=3.62526e-05 t=25487
ge ge 	哥哥	c=1 d=0.0229371 t=25487
ge ge pan 	各个盘	c=1 d=5.09921e-48 t=25487
ge li 	隔离	c=2 d=0.00308872 t=25487
ge qu 	歌曲	c=1 d=1.14789e-05 t=25487
ge ren 	个人	c=2 d=0.162838 t=25487
ge shi 	格式	c=9 d=0.752015 t=25487
ge shu 	个数	c=1 d=4.2475e-45 t=25487
ge tian 	隔天	c=1 d=0.00220947 t=25487
ge zai 	搁在	c=2 d=2.8488e-25 t=25487
ge zhong 	各种	c=5 d=3.86719e-08 t=25487
gei 	给	c=35 d=0.355552 t=25487
gei chu 	给出	c=1 d=2.61659e-22 t=25487
gei dian 	给点	c=1 d=2.14083e-14 t=25487
gei ge 	给个	c=1 d=3.7484e-45 t=25487
gei guo 	给过	c=0 d=2.08861e-48 t=25487
gei guo wo 	给过我	c=1 d=2.09908e-47 t=25487
gei le 	给了	c=2 d=0.102797 t=25487
gei ni 	给你	c=20 d=0.619118 t=25487
gei nin 	给您	c=9 d=4.35425e-09 t=25487
gei qian 	给钱	c=2 d=1.98993e-07 t=25487
gei ren 	给人	c=1 d=7.48645e-07 t=25487
gei ta 	给他	c=7 d=2.94087e-10 t=25487
gei ta 	给她	c=1 d=0.373439 t=25487
gei wo 	给我	c=20 d=0.000441073 t=25487
gei wo men 	给我们	c=1 d=3.0754e-11 t=25487
gen 	跟	c=51 d=1.21261 t=25487
gen jin 	跟进	c=1 d=2.66619e-37 t=25487
gen ju 	根据	c=20 d=0.00316691 t=25487
gen mu lu 	根目录	c=1 d=1.37994e-24 t=25487
gen ni 	跟你	c=6 d=0.000234145 t=25487
gen nin 	跟您	c=9 d=1.87442e-20 t=25487
gen ta 	跟他	c=3 d=9.63569e-35 t=25487
gen ta 	跟她	c=3 d=2.88144e-14 t=25487
gen ta shuo 	跟他说	c=1 d=6.81726e-23 t=25487
gen wo 	跟我	c=5 d=1.84114e-12 t=25487
gen wo zhe 	跟我这	c=1 d=2.70749e-12 t=25487
gen zhe 	跟着	c=1 d=6.42241e-27 t=25487
geng 	更	c=11 d=3.60451e-05 t=25487
geng da 	更大	c=1 d=7.43368e-12 t=25487
geng duo 	更多	c=1 d=6.65803e-39 t=25487
geng gai 	更改	c=11 d=0.00096827 t=25487
geng hao 	更好	c=3 d=5.04691e-15 t=25487
geng huan 	更换	c=1 d=7.35576e-35 t=25487
geng ju 	更具	c=1 d=6.11855e-45 t=25487
geng kuai 	更快	c=1 d=2.48256e-21 t=25487
geng li pu 	更离谱	c=1 d=2.56121e-35 t=25487
geng nan 	更难	c=1 d=1.7124e-34 t=25487
geng qiang 	更强	c=1 d=1.56097e-33 t=25487
geng sha hei ti 	更啥黑体	c=1 d=5.7337e-16 t=25487
geng shen 	更深	c=1 d=1.53956e-47 t=25487
geng shuang 	更爽	c=1 d=1.7909e-32 t=25487
geng wei 	更为	c=3 d=2.44559e-21 t=25487
geng xi wang 	更希望	c=1 d=3.20909e-41 t=25487
geng xin 	更新	c=19 d=3.03139e-09 t=25487
geng yan zhong 	更严重	c=1 d=0.00496669 t=25487
genus 	genus	c=2 d=2.1894e-36 t=25487
gh el per 	ghelper	c=2 d=1.60595e-36 t=25487
git hub 	github	c=1 d=4.41708e-35 t=25487
gong 	公	c=1 d=6.0441e-48 t=25487
gong 	共	c=0 d=1.07599e-39 t=25487
gong 	攻	c=1 d=0.210136 t=25487
gong chan dang 	共产党	c=1 d=3.20582e-29 t=25487
gong e 	宫娥	c=1 d=3.8348e-19 t=25487
gong fu 	功夫	c=0 d=1.84194e-40 t=25487
gong gan 	公干	c=1 d=7.4309e-37 t=25487
gong gan ran 	共感染	c=2 d=6.33141e-38 t=25487
gong gong 	公共	c=1 d=2.53788e-45 t=25487
gong huan bing 	共患病	c=3 d=1.64028e-45 t=25487
gong ji jin 	公积金	c=2 d=9.50268e-08 t=25487
gong jiao 	公交	c=1 d=2.23199e-34 t=25487
gong ju 	工具	c=3 d=1.50237e-24 t=25487
gong ming 	共鸣	c=1 d=4.08816e-07 t=25487
gong neng 	功能	c=2 d=2.80768e-45 t=25487
gong nin 	供您	c=1 d=1.33131e-43 t=25487
gong pu 	公仆	c=1 d=1.06237e-06 t=25487
gong qing tuan yuan 	共青团员	c=1 d=7.31777e-33 t=25487
gong ren 	公认	c=1 d=1.57393e-42 t=25487
gong shi 	公式	c=1 d=1.27143e-31 t=25487
gong si 	公司	c=15 d=1.58809e-07 t=25487
gong tong 	共同	c=1 d=2.1013e-30 t=25487
gong wu ka 	公务卡	c=2 d=2.09789e-41 t=25487
gong xi 	恭喜	c=2 d=7.08462e-05 t=25487
gong xiang 	共享	c=1 d=7.52399e-07 t=25487
gong xin ji 	攻心计	c=1 d=1.11393e-34 t=25487
gong yi 	共一	c=1 d=2.93749e-30 t=25487
gong yong 	公用	c=0 d=8.28205e-49 t=25487
gong you 	共有	c=1 d=5.62112e-18 t=25487
gong yuan 	公园	c=1 d=2.45492e-07 t=25487
gong zhong hao 	公众号	c=3 d=4.22429e-10 t=25487
gong zuo 	工作	c=14 d=0.245747 t=25487
gou 	够	c=2 d=3.69712e-30 t=25487
gou 	狗	c=1 d=0.000804733 t=25487
gou bu gou 	够不够	c=1 d=6.96919e-47 t=25487
gou jian 	构建	c=8 d=6.47705e-09 t=25487
gou tong 	沟通	c=2 d=1.13157e-13 t=25487
gou yong 	够用	c=2 d=7.82971e-05 t=25487
graph 	graph	c=1 d=1.98472e-35 t=25487
green 	green	c=3 d=1.60935e-26 t=25487
gu 	故	c=2 d=3.25704e-39 t=25487
gu dai 	古代	c=1 d=5.24931e-07 t=25487
gu er 	故而	c=2 d=1.58079e-05 t=25487
gu ge 	谷歌	c=5 d=1.08421e-10 t=25487
gu ji 	估计	c=11 d=0.00630731 t=25487
gu li 	鼓里	c=1 d=6.51398e-17 t=25487
gu pen 	骨盆	c=3 d=2.94359e-25 t=25487
gu shi 	故事	c=1 d=6.69477e-45 t=25487
gu wang 	孤王	c=0 d=0.000990219 t=25487
gu wang zai 	孤王在	c=1 d=0.00995182 t=25487
gu ye 	姑爷	c=1 d=7.28772e-14 t=25487
gu yi 	故意	c=1 d=2.86193e-47 t=25487
gu zhe 	顾着	c=1 d=4.66921e-41 t=25487
gua 	瓜	c=3 d=0.00787108 t=25487
gua zai 	挂载	c=1 d=1.42371e-09 t=25487
gua zhe 	挂着	c=1 d=2.31393e-17 t=25487
guai bu de 	怪不得	c=2 d=7.05933e-14 t=25487
guai guai 	乖乖	c=1 d=1.94212e-15 t=25487
guan 	关	c=1 d=1.97792e-24 t=25487
guan 	管	c=6 d=0.00124767 t=25487
guan 	观	c=0 d=2.81645e-36 t=25487
guan 	馆	c=3 d=0.739105 t=25487
guan bao 	管饱	c=1 d=1.31332e-30 t=25487
guan cha 	观察	c=3 d=5.51934e-21 t=25487
guan chuan 	贯穿	c=1 d=1.96263e-21 t=25487
guan fang 	官方	c=1 d=1.14629e-18 t=25487
guan jia 	管家	c=5 d=2.36152e-16 t=25487
guan jia ji yin 	管家基因	c=1 d=1.8155e-16 t=25487
guan jian 	关键	c=1 d=4.56339e-36 t=25487
guan jiao 	管教	c=0 d=1.18281e-35 t=25487
guan jiao ta 	管教他	c=1 d=1.18874e-34 t=25487
guan lao shi 	关老师	c=2 d=7.68249e-17 t=25487
guan li 	管理	c=4 d=5.12466e-23 t=25487
guan li yuan 	管理员	c=1 d=6.26923e-37 t=25487
guan lian 	关联	c=2 d=5.54939e-21 t=25487
guan lian xing 	关联性	c=1 d=3.46681e-38 t=25487
guan shu 	灌输	c=1 d=1.24735e-12 t=25487
guan wang 	官网	c=2 d=7.96838e-35 t=25487
guan wang shang 	官网上	c=1 d=4.02991e-44 t=25487
guan xi 	关系	c=6 d=2.8606e-06 t=25487
guan xi 	灌洗	c=0 d=4.71532e-40 t=25487
guan xi ye 	灌洗液	c=4 d=2.23822e-08 t=25487
guan xin 	关心	c=2 d=1.32214e-13 t=25487
guan yu 	关于	c=4 d=2.18786e-05 t=25487
guan zheng 	关正	c=0 d=3.27002e-28 t=25487
guan zheng ming 	关正明	c=2 d=1.18847e-25 t=25487
guan zhong 	观众	c=2 d=8.61734e-15 t=25487
guan zhu 	关注	c=6 d=2.24906e-06 t=25487
guan zhuang bing du 	冠状病毒	c=1 d=1.14668e-22 t=25487
guan zi 	管子	c=5 d=2.60189e-06 t=25487
guan zi 	馆子	c=1 d=3.8361e-23 t=25487
guang 	光	c=2 d=5.04336e-36 t=25487
guang chang 	广场	c=1 d=3.72463e-29 t=25487
guang fan 	广泛	c=3 d=4.31087e-45 t=25487
guang fu tun 	广阜屯	c=2 d=7.62213e-34 t=25487
guang guang 	逛逛	c=1 d=3.82164e-08 t=25487
guang ji de 	光记得	c=1 d=5.43889e-42 t=25487
guang jie 	逛街	c=2 d=1.08557e-24 t=25487
guang zhe 	光着	c=1 d=1.37783e-06 t=25487
guang zhou 	广州	c=8 d=8.5925e-05 t=25487
guang zhou shi yan shi 	广州实验室	c=1 d=6.11461e-08 t=25487
guang zuo 	光做	c=1 d=5.30189e-36 t=25487
gui 	柜	c=0 d=3.8275e-27 t=25487
gui 	贵	c=2 d=2.20205e-44 t=25487
gui dao 	轨道	c=2 d=5.92002e-34 t=25487
gui kan 	贵刊	c=7 d=6.62591e-35 t=25487
gui ze 	规则	c=1 d=3.37305e-39 t=25487
gui zhi 	归置	c=1 d=6.00577e-32 t=25487
gun gua 	滚挂	c=2 d=8.97054e-17 t=25487
guo 	国	c=5 d=7.08437e-34 t=25487
guo 	过	c=10 d=5.76612e-10 t=25487
guo 	锅	c=1 d=1.98952e-34 t=25487
guo bu xia qu 	过不下去	c=1 d=4.34096e-07 t=25487
guo cheng 	过程	c=3 d=1.1904e-21 t=25487
guo cheng zhong 	过程中	c=1 d=1.09206e-36 t=25487
guo de 	过得	c=2 d=0.0555762 t=25487
guo de gang 	郭德纲	c=1 d=3.12837e-06 t=25487
guo fen 	过分	c=2 d=1.62902e-12 t=25487
guo hui er 	过会儿	c=1 d=1.43255e-23 t=25487
guo ji tian 	过几天	c=1 d=3.13093e-45 t=25487
guo jia 	国家	c=4 d=3.33665e-29 t=25487
guo jia ji 	国家级	c=1 d=7.6032e-42 t=25487
guo jia shi yan shi 	国家实验室	c=1 d=1.55725e-05 t=25487
guo jing 	果经	c=1 d=0.00932553 t=25487
guo ke 	国科	c=0 d=9.69395e-48 t=25487
guo ke da 	国科大	c=5 d=1.33806e-23 t=25487
guo lai 	过来	c=23 d=0.0314171 t=25487
guo le 	过了	c=2 d=0.00601709 t=25487
guo li 	锅里	c=1 d=6.10715e-23 t=25487
guo ni 	过你	c=0 d=4.67571e-29 t=25487
guo pai 	郭派	c=1 d=1.39766e-27 t=25487
guo qing jie 	国庆节	c=1 d=1.01401e-46 t=25487
guo qu 	过去	c=10 d=0.0011306 t=25487
guo ran 	果然	c=6 d=0.00725485 t=25487
guo wai 	国外	c=2 d=0.000157138 t=25487
guo wang 	国王	c=0 d=4.82058e-35 t=25487
guo wang pai ming 	国王排名	c=4 d=2.08279e-33 t=25487
guo wo 	过我	c=1 d=3.02077e-06 t=25487
guo xian 	过线	c=1 d=8.9164e-34 t=25487
guo xun lian 	过训练	c=1 d=5.91135e-22 t=25487
guo yi bian 	过一遍	c=1 d=4.71372e-35 t=25487
guo yi hui 	过一会	c=1 d=3.84472e-20 t=25487
guo yi hui er 	过一会儿	c=1 d=1.77617e-23 t=25487
guo yu 	过于	c=2 d=5.89207e-13 t=25487
h c 	hc	c=1 d=3.84996e-36 t=25487
ha 	哈	c=9 d=0.000297588 t=25487
ha ha ha 	哈哈哈	c=3 d=1.51015e-26 t=25487
ha ha ha ha 	哈哈哈哈	c=16 d=0.0218184 t=25487
ha ha ha ha ha 	哈哈哈哈哈	c=18 d=1.04282 t=25487
ha ha ha ha ha ha 	哈哈哈哈哈哈	c=4 d=0.0113061 t=25487
hai 	嗨	c=1 d=5.50888e-16 t=25487
hai 	还	c=34 d=0.216887 t=25487
hai bao 	海报	c=2 d=6.57941e-17 t=25487
hai bu 	还不	c=1 d=1.44469e-34 t=25487
hai bu cuo 	还不错	c=2 d=5.58435e-29 t=25487
hai bu shi 	还不是	c=1 d=2.47319e-06 t=25487
hai bu xing 	还不行	c=1 d=1.07544e-32 t=25487
hai da 	还打	c=1 d=1.25165e-23 t=25487
hai dai 	还戴	c=0 d=3.83349e-16 t=25487
hai dai ge 	还戴个	c=1 d=3.85271e-15 t=25487
hai de 	还得	c=5 d=9.98903e-08 t=25487
hai hao 	还好	c=18 d=0.00140951 t=25487
hai hen 	还很	c=2 d=5.45778e-24 t=25487
hai ke 	还可	c=3 d=6.68005e-38 t=25487
hai ke yi 	还可以	c=1 d=2.18891e-40 t=25487
hai lai 	还来	c=1 d=2.80927e-05 t=25487
hai li 	海狸	c=1 d=1.13115e-38 t=25487
hai mei 	还没	c=25 d=0.11025 t=25487
hai mei hua 	还没画	c=1 d=2.40002e-35 t=25487
hai mei ne 	还没呢	c=1 d=4.16636e-24 t=25487
hai mei qi 	还没起	c=1 d=1.45771e-22 t=25487
hai mei shen 	还没审	c=1 d=1.36431e-37 t=25487
hai mei you 	还没有	c=1 d=8.03884e-21 t=25487
hai mei zou 	还没走	c=1 d=0.00168667 t=25487
hai neng 	还能	c=10 d=9.17455e-06 t=25487
hai neng yong 	还能用	c=1 d=8.82916e-36 t=25487
hai pa 	害怕	c=3 d=3.33041e-07 t=25487
hai qing 	还请	c=1 d=3.72919e-14 t=25487
hai shi 	还是	c=69 d=1.08192 t=25487
hai shuo 	还说	c=4 d=5.57262e-14 t=25487
hai ting 	还挺	c=1 d=7.17166e-31 t=25487
hai wan 	还晚	c=1 d=0.1836 t=25487
hai xiang 	还想	c=1 d=1.81865e-07 t=25487
hai xing 	还行	c=2 d=7.56942e-19 t=25487
hai yao 	还要	c=3 d=9.62753e-07 t=25487
hai you 	还有	c=40 d=1.94972 t=25487
hai you mei you 	还有没有	c=1 d=1.15502e-19 t=25487
hai zai 	还在	c=10 d=0.00406639 t=25487
hai zhou 	海舟	c=12 d=1.02538e-24 t=25487
hai zhu qu 	海珠区	c=1 d=1.53407e-05 t=25487
han ju 	汉剧	c=12 d=1.39215e-10 t=25487
han liang 	含量	c=5 d=0.00133343 t=25487
han pi 	憨皮	c=1 d=5.98317e-17 t=25487
han shu 	函数	c=7 d=1.6324e-29 t=25487
han wo 	喊我	c=2 d=0.0457301 t=25487
han yi 	含义	c=1 d=2.42043e-17 t=25487
han you 	含有	c=1 d=4.20237e-37 t=25487
han yuan 	韩元	c=0 d=7.2699e-45 t=25487
han yuan shuai 	韩元帅	c=1 d=7.30636e-44 t=25487
hang 	行	c=11 d=9.54662e-05 t=25487
hang hao 	行号	c=1 d=7.10274e-35 t=25487
hang ju 	行距	c=1 d=0.0327124 t=25487
hang ming 	行名	c=1 d=3.1132e-37 t=25487
